feature,importance
carat,0.6233626966798541
log_carat,0.17320914898402587
carat_squared,0.08336432098556748
carat_color,0.05791638505679948
clarity_color,0.019693711736674967
carat_clarity,0.01727136817205343
color,0.011882678862756901
shape_round,0.004625009446421393
clarity,0.004430096847852816
shape_cushion_modified,0.0010442258275258488
shape_oval,0.000655812735717288
shape_princess,0.0006459248656452471
shape_emerald,0.0004042079622422364
shape_marquise,0.00036785545254625204
shape_pear,0.0002880118564441505
shape_heart,0.00023603967793283455
shape_radiant,0.00022882783424115386
shape_asscher,0.00022450516330261002
shape_cushion,0.00010615262384797543
shape_square_radiant,4.301922854782649e-05
